neighborhood,img_name,pixel_count,pixel_proportion
Brookline B,IMG_4461_Edited.PNG,644,0.03197
Brookline B,IMG_4462_Edited.PNG,4842,0.24038
Brookline B,IMG_4463_Edited.PNG,291,0.01445
Brookline B,IMG_4464_Edited.PNG,5121,0.25423
Brookline B,IMG_4465_Edited.PNG,1962,0.0974
Brookline B,IMG_4466_Edited.PNG,7748,0.38464
Brookline B,IMG_4467_Edited.PNG,622,0.03088
Brookline B,IMG_4468_Edited.PNG,431,0.0214
Brookline B,IMG_4469_Edited.PNG,434,0.02155
Brookline B,IMG_4470_Edited.PNG,199,0.00988
Brookline B,IMG_4474_Edited.PNG,16834,0.83571
